"","Year","district","flat_type","avg_price_per_sqm"
"534",1998,"D18","2-RM",2272.72727272727
"535",1998,"D18","3-RM",2398.95554666351
"536",1998,"D18","4-RM",2759.05096992657
"537",1998,"D18","5-RM",3015.7500273535
"538",1998,"D18","EXEC",3334.50178827601
"539",1998,"D19","3-RM",2181.12928511494
"540",1998,"D19","4-RM",2578.00543856037
"541",1998,"D19","5-RM",2977.44742158201
"542",1998,"D19","EXEC",3264.66640096767
"543",1998,"D20","1-RM",2050.69124423963
"544",1998,"D20","2-RM",2247.71241830065
"545",1998,"D20","3-RM",2354.83296925324
"546",1998,"D20","4-RM",3020.77566267231
"547",1998,"D20","5-RM",3533.0202373967
"548",1998,"D20","EXEC",3776.53037221475
"549",1998,"D22","3-RM",1973.97407711017
"550",1998,"D22","4-RM",2319.67664856877
"551",1998,"D22","5-RM",2587.5227452082
"552",1998,"D22","EXEC",2831.93248188261
"553",1998,"D23","3-RM",2013.29648407264
"554",1998,"D23","4-RM",2381.03743812869
"555",1998,"D23","5-RM",2793.09874351358
"556",1998,"D23","EXEC",3111.06138232637
"557",1998,"D24","3-RM",1236.85927067283
"558",1998,"D24","4-RM",1204.81927710843
"559",1998,"D25","2-RM",1766.66666666667
"560",1998,"D25","3-RM",1827.56701857896
"561",1998,"D25","4-RM",2175.53373610316
"562",1998,"D25","5-RM",2500.75515373543
"563",1998,"D25","EXEC",2713.49981144931
"564",1998,"D27","3-RM",2122.11131515107
"565",1998,"D27","4-RM",2386.12930366237
"566",1998,"D27","5-RM",2821.94513848479
"567",1998,"D27","EXEC",3106.93502811061
"568",1998,"D3","1-RM",1581.61193454785
"569",1998,"D3","2-RM",1713.2737980305
"570",1998,"D3","3-RM",2423.49498481581
"571",1998,"D3","4-RM",3194.14549797134
"572",1998,"D3","5-RM",3649.43889362854
"573",1998,"D3","EXEC",3312.00176756518
"574",1998,"D5","3-RM",2378.28699317018
"575",1998,"D5","4-RM",2917.96564415098
"576",1998,"D5","5-RM",3341.89033988887
"577",1998,"D5","EXEC",3425.65371190769
"578",1999,"D1","2-RM",1883.59635155277
"579",1999,"D1","3-RM",2629.15914640069
"580",1999,"D1","4-RM",3122.23624988812
"581",1999,"D1","5-RM",3074.57650517611
