Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,D27,OCR,99 yrs lease commencing from 2015,655000,06 to 10,2021-11,431,1521
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,585000,06 to 10,2021-11,452,1294
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,1068000,06 to 10,2021-11,872,1225
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,850000,01 to 05,2021-11,883,963
RESIDENTIAL APARTMENTS,JALAN TARI SERIMPI,Apartment,D28,OCR,999 yrs lease commencing from 1879,2680000,01 to 05,2021-11,1851,1448
YISHUN EMERALD,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 1998,1200000,06 to 10,2021-11,1399,858
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1080000,11 to 15,2021-11,893,1209
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,9.00E+05,11 to 15,2021-11,786,1145
THE ESTUARY,YISHUN AVENUE 1,Condominium,D27,OCR,99 yrs lease commencing from 2008,1380000,11 to 15,2021-11,1313,1051
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,D27,OCR,99 yrs lease commencing from 2010,910888,11 to 15,2021-11,915,996
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,9.00E+05,11 to 15,2021-11,786,1145
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2010,1070000,01 to 05,2021-11,1173,912
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,D28,OCR,99 yrs lease commencing from 2013,758000,11 to 15,2021-11,581,1304
SKIES MILTONIA,MILTONIA CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2012,1230000,01 to 05,2021-11,1270,968
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,1230000,01 to 05,2021-11,1216,1011
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,1188800,01 to 05,2021-11,1152,1032
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,8.00E+05,11 to 15,2021-11,689,1161
EUPHONY GARDENS,JALAN MATA AYER,Condominium,D27,OCR,99 yrs lease commencing from 1998,1450000,01 to 05,2021-11,2056,705
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1255000,11 to 15,2021-11,1023,1227
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,1540000,06 to 10,2021-11,1410,1092
THE NAUTICAL,JALAN SENDUDOK,Condominium,D27,OCR,99 yrs lease commencing from 2011,568888,01 to 05,2021-11,441,1289
SELETARIS,SEMBAWANG ROAD,Condominium,D27,OCR,Freehold,1068000,01 to 05,2021-11,1055,1012
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,795000,11 to 15,2021-11,689,1154
SYMPHONY SUITES,YISHUN CLOSE,Condominium,D27,OCR,99 yrs lease commencing from 2014,1170000,01 to 05,2021-11,1023,1144
SELETARIS,SEMBAWANG ROAD,Condominium,D27,OCR,Freehold,1550000,01 to 05,2021-11,1615,960
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,570000,21 to 25,2021-11,388,1471
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,D28,OCR,99 yrs lease commencing from 2013,916000,06 to 10,2021-11,732,1251
RIVERBANK @ FERNVALE,FERNVALE CLOSE,Condominium,D28,OCR,99 yrs lease commencing from 2013,1240000,11 to 15,2021-11,1044,1188
SUNRISE GARDENS,SUNRISE AVENUE,Condominium,D28,OCR,99 yrs lease commencing from 1995,1050000,01 to 05,2021-11,1281,820
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,D28,OCR,99 yrs lease commencing from 2014,945000,16 to 20,2021-11,721,1310
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,D28,OCR,99 yrs lease commencing from 2013,1900000,01 to 05,2021-11,1593,1193
PARC BOTANNIA,FERNVALE STREET,Condominium,D28,OCR,99 yrs lease commencing from 2016,710000,01 to 05,2021-11,506,1403
H2O RESIDENCES,FERNVALE LINK,Condominium,D28,OCR,99 yrs lease commencing from 2010,878000,16 to 20,2021-11,743,1182
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,Condominium,D27,OCR,99 yrs lease commencing from 1991,970000,06 to 10,2021-11,1206,805
CASTLE GREEN,YIO CHU KANG ROAD,Condominium,D26,OCR,99 yrs lease commencing from 1993,1565000,11 to 15,2021-11,1410,1110
EUPHONY GARDENS,JALAN MATA AYER,Condominium,D27,OCR,99 yrs lease commencing from 1998,890000,01 to 05,2021-11,1195,745
