Project Name,Street Name,Type,District.,Market Segment,Tenure.,Asking.,Floor.Description,Date.,Area.Builtup,PSF.
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,D2,RCR,Freehold,1970000,11 to 15,2022-09,915,2153
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,2200000,26 to 30,2022-09,980,2246
ICON,GOPENG STREET,Apartment,D2,CCR,99 yrs lease commencing from 2002,1350000,06 to 10,2022-09,786,1718
V ON SHENTON,SHENTON WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,4300000,46 to 50,2022-09,1765,2436
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,1600000,56 to 60,2022-09,861,1858
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 1995,1420000,01 to 05,2022-09,1302,1090
SEAHILL,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 2011,810000,16 to 20,2022-09,527,1536
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,968000,01 to 05,2022-09,710,1363
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,3654000,11 to 15,2022-09,2519,1451
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,1650000,06 to 10,2022-09,936,1762
THE CLIFT,MCCALLUM STREET,Apartment,D1,CCR,99 yrs lease commencing from 2004,1460000,26 to 30,2022-09,775,1884
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,D3,RCR,99 yrs lease commencing from 2013,1885000,41 to 45,2022-09,904,2085
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,D4,RCR,Freehold,1080000,16 to 20,2022-09,484,2230
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,Condominium,D2,RCR,Freehold,1300000,31 to 35,2022-09,603,2157
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,2500000,51 to 55,2022-09,1184,2111
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,D3,RCR,Freehold,2550000,11 to 15,2022-09,1421,1795
THE INFINITI,WEST COAST PARK,Condominium,D5,OCR,Freehold,1700000,06 to 10,2022-09,1302,1305
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1395000,16 to 20,2022-09,657,2125
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1070000,11 to 15,2022-09,710,1506
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,2280000,06 to 10,2022-09,1281,1780
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1080000,16 to 20,2022-09,710,1520
SEAHILL,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 2011,730000,06 to 10,2022-09,495,1474
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5636900,11 to 15,2022-09,2508,2248
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,D4,RCR,Freehold,2938000,16 to 20,2022-09,1346,2184
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,3438888,16 to 20,2022-09,1572,2188
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,D3,RCR,99 yrs lease commencing from 2006,1333000,41 to 45,2022-09,786,1696
DOVER PARKVIEW,DOVER RISE,Condominium,D5,RCR,99 yrs lease commencing from 1993,1250000,11 to 15,2022-09,936,1335
ICON,GOPENG STREET,Apartment,D2,CCR,99 yrs lease commencing from 2002,1010000,16 to 20,2022-09,560,1804
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,1970000,06 to 10,2022-09,1044,1887
V ON SHENTON,SHENTON WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,950000,26 to 30,2022-09,441,2153
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1375000,11 to 15,2022-09,657,2094
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,Apartment,D2,RCR,99 yrs lease commencing from 1973,870000,01 to 05,2022-09,850,1023
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,Condominium,D3,RCR,99 yrs lease commencing from 1992,2200000,01 to 05,2022-09,1528,1439
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1030000,31 to 35,2022-09,646,1595
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,1650000,11 to 15,2022-09,1012,1631
VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,Condominium,D5,RCR,Freehold,1480000,01 to 05,2022-09,1076,1375
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,D3,RCR,Freehold,3250000,01 to 05,2022-09,1938,1677
TWIN VEW,WEST COAST VALE,Apartment,D5,OCR,99 yrs lease commencing from 2017,1290000,21 to 25,2022-09,743,1737
PASIR PANJANG LODGE,PASIR PANJANG ROAD,Apartment,D5,RCR,Freehold,1300000,01 to 05,2022-09,1249,1041
ALEXIS,ALEXANDRA ROAD,Apartment,D3,RCR,Freehold,1400000,06 to 10,2022-09,1076,1301
SKYSUITES@ANSON,ENGGOR STREET,Apartment,D2,CCR,99 yrs lease commencing from 2008,1400000,21 to 25,2022-09,700,2001
CRAIG PLACE,CRAIG ROAD,Apartment,D2,RCR,99 yrs lease commencing from 1997,1380000,06 to 10,2022-09,732,1885
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1520000,16 to 20,2022-09,689,2206
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2004,2780000,01 to 05,2022-09,2293,1213
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5425000,06 to 10,2022-09,2530,2145
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,D3,RCR,99 yrs lease commencing from 2013,2178000,36 to 40,2022-09,1055,2065
DOMAIN 21,DELTA ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2004,1765000,21 to 25,2022-09,1098,1608
HERITAGE VIEW,DOVER RISE,Condominium,D5,RCR,99 yrs lease commencing from 1996,1310000,06 to 10,2022-09,969,1352
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,D3,RCR,99 yrs lease commencing from 2013,2098000,31 to 35,2022-09,1033,2030
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1.00E+06,21 to 25,2022-09,710,1408
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,D1,CCR,99 yrs lease commencing from 2005,1430000,36 to 40,2022-09,732,1954
QUEENS PEAK,DUNDEE ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2015,880000,06 to 10,2022-09,441,1994
DOVER PARKVIEW,DOVER RISE,Condominium,D5,RCR,99 yrs lease commencing from 1993,1600000,01 to 05,2022-09,1249,1281
ARTRA,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2016,1700000,06 to 10,2022-09,829,2051
WATERFRONT @ FABER,FABER WALK,Apartment,D5,OCR,99 yrs lease commencing from 2013,1470000,01 to 05,2022-09,1033,1423
ALEXIS,ALEXANDRA ROAD,Apartment,D3,RCR,Freehold,1600000,06 to 10,2022-09,1206,1327
HERITAGE VIEW,DOVER RISE,Condominium,D5,RCR,99 yrs lease commencing from 1996,1668000,16 to 20,2022-09,1163,1435
TERESA VILLE,LOWER DELTA ROAD,Condominium,D4,RCR,Freehold,3200000,21 to 25,2022-09,1959,1633
WATERFRONT @ FABER,FABER WALK,Apartment,D5,OCR,99 yrs lease commencing from 2013,1700000,01 to 05,2022-09,1173,1449
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2006,1480000,01 to 05,2022-09,1087,1361
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2006,1426000,01 to 05,2022-09,1076,1325
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,Condominium,D3,RCR,99 yrs lease commencing from 2006,1300000,31 to 35,2022-09,786,1654
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,1620000,06 to 10,2022-09,1109,1461
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,17625000,36 to 40,2022-09,7050,2500
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,D3,RCR,99 yrs lease commencing from 2013,1620000,41 to 45,2022-09,753,2150
ASCENTIA SKY,ALEXANDRA VIEW,Condominium,D3,RCR,99 yrs lease commencing from 2008,2925000,26 to 30,2022-09,1787,1637
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,1680000,11 to 15,2022-09,1259,1334
SKYSUITES@ANSON,ENGGOR STREET,Apartment,D2,CCR,99 yrs lease commencing from 2008,1390000,26 to 30,2022-09,667,2083
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 1991,1272000,01 to 05,2022-09,1216,1046
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5452900,06 to 10,2022-09,2508,2174
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,1900000,01 to 05,2022-09,1130,1681
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5700400,11 to 15,2022-09,2530,2254
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,11021600,16 to 20,2022-09,4812,2291
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,2150000,06 to 10,2022-09,1055,2038
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,2300000,21 to 25,2022-09,936,2456
INTERNATIONAL PLAZA,ANSON ROAD,Apartment,D2,CCR,99 yrs lease commencing from 1970,1200000,41 to 45,2022-09,1033,1161
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,1168000,41 to 45,2022-09,678,1722
THE MAYLEA,PASIR PANJANG ROAD,Condominium,D5,RCR,Freehold,2270000,01 to 05,2022-09,1722,1318
THE INFINITI,WEST COAST PARK,Condominium,D5,OCR,Freehold,1200000,06 to 10,2022-09,904,1327
DOVER PARKVIEW,DOVER RISE,Condominium,D5,RCR,99 yrs lease commencing from 1993,1290000,06 to 10,2022-09,936,1378
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,1850000,01 to 05,2022-09,1130,1637
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5516400,06 to 10,2022-09,2530,2181
QUEENS,STIRLING ROAD,Condominium,D3,RCR,99 yrs lease commencing from 1998,1750000,21 to 25,2022-09,1184,1478
SEAHILL,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 2011,950000,11 to 15,2022-09,667,1424
BLUE HORIZON,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 2000,1430000,01 to 05,2022-09,1152,1242
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,Apartment,D2,RCR,Freehold,1805000,31 to 35,2022-09,840,2150
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,3760000,16 to 20,2022-09,3455,1088
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2004,1410000,01 to 05,2022-09,1012,1394
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1020000,11 to 15,2022-09,710,1436
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,1480000,11 to 15,2022-09,764,1937
ECHELON,ALEXANDRA VIEW,Condominium,D3,RCR,99 yrs lease commencing from 2012,1800000,36 to 40,2022-09,861,2090
THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,D5,OCR,Freehold,1895000,06 to 10,2022-09,1216,1558
PEOPLE'S PARK COMPLEX,PARK ROAD,Apartment,D1,RCR,99 yrs lease commencing from 1968,1060000,11 to 15,2022-09,1119,947
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,3550000,11 to 15,2022-09,2454,1446
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,Apartment,D2,RCR,99 yrs lease commencing from 1976,968000,01 to 05,2022-09,1270,762
MARINA ONE RESIDENCES,MARINA WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,3600000,06 to 10,2022-09,1518,2372
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,1300000,61 to 65,2022-09,678,1917
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,4800000,36 to 40,2022-09,4607,1042
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,2850000,11 to 15,2022-09,1894,1504
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,7308000,01 to 05,2022-09,3380,2162
WHISTLER GRAND,WEST COAST VALE,Apartment,D5,OCR,99 yrs lease commencing from 2018,1830000,11 to 15,2022-09,1066,1717
WHISTLER GRAND,WEST COAST VALE,Apartment,D5,OCR,99 yrs lease commencing from 2018,2200000,06 to 10,2022-09,1270,1732
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,5533000,11 to 15,2022-09,2530,2187
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2004,2850000,01 to 05,2022-09,2271,1255
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,930000,21 to 25,2022-09,603,1543
ECHELON,ALEXANDRA VIEW,Condominium,D3,RCR,99 yrs lease commencing from 2012,2120000,36 to 40,2022-09,1001,2118
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,3670800,11 to 15,2022-09,1679,2186
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,D5,RCR,99 yrs lease commencing from 2005,2880000,26 to 30,2022-09,1948,1478
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,2800000,16 to 20,2022-09,1238,2262
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,920000,16 to 20,2022-09,538,1709
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,Condominium,D5,OCR,99 yrs lease commencing from 2006,2228888,01 to 05,2022-09,1636,1362
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,1580000,16 to 20,2022-09,786,2011
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,1650168,26 to 30,2022-09,936,1762
ALEXIS,ALEXANDRA ROAD,Apartment,D3,RCR,Freehold,740000,01 to 05,2022-09,398,1858
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,920000,06 to 10,2022-09,474,1942
THE INTERLACE,DEPOT ROAD,Condominium,D4,RCR,99 yrs lease commencing from 2009,1660000,06 to 10,2022-09,1055,1574
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,D4,RCR,99 yrs lease commencing from 2007,9100000,01 to 05,2022-08,3122,2915
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,1760000,01 to 05,2022-08,1076,1635
PARC IMPERIAL,PASIR PANJANG ROAD,Condominium,D5,RCR,Freehold,7.00E+05,01 to 05,2022-08,388,1806
THE CREST,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2012,2270000,11 to 15,2022-08,1259,1802
QUEENS PEAK,DUNDEE ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2015,1980000,36 to 40,2022-08,936,2114
THE ANCHORAGE,ALEXANDRA ROAD,Condominium,D3,RCR,Freehold,2450000,06 to 10,2022-08,1421,1724
MARINA ONE RESIDENCES,MARINA WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,1760654,21 to 25,2022-08,667,2638
YONG SIAK COURT,YONG SIAK STREET,Apartment,D3,RCR,Freehold,2800000,01 to 05,2022-08,1679,1668
MARINA ONE RESIDENCES,MARINA WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,3744171,26 to 30,2022-08,1518,2467
MARINA ONE RESIDENCES,MARINA WAY,Apartment,D1,CCR,99 yrs lease commencing from 2011,1620000,26 to 30,2022-08,700,2315
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1550000,26 to 30,2022-08,689,2250
SEASCAPE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2007,4529100,01 to 05,2022-08,2174,2083
SKYSUITES@ANSON,ENGGOR STREET,Apartment,D2,CCR,99 yrs lease commencing from 2008,1350000,36 to 40,2022-08,700,1929
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1638000,16 to 20,2022-08,764,2143
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,952000,21 to 25,2022-08,484,1965
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,D3,RCR,99 yrs lease commencing from 2013,1438000,06 to 10,2022-08,753,1908
QUEENS PEAK,DUNDEE ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2015,1288000,21 to 25,2022-08,624,2063
SKYSUITES@ANSON,ENGGOR STREET,Apartment,D2,CCR,99 yrs lease commencing from 2008,1420000,41 to 45,2022-08,667,2128
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,3630400,11 to 15,2022-08,1679,2162
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 1991,1280000,01 to 05,2022-08,1281,999
WHISTLER GRAND,WEST COAST VALE,Apartment,D5,OCR,99 yrs lease commencing from 2018,1700000,11 to 15,2022-08,990,1717
RIVER PLACE,HAVELOCK ROAD,Condominium,D3,RCR,99 yrs lease commencing from 1995,1230000,01 to 05,2022-08,786,1565
HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2013,1095000,01 to 05,2022-08,506,2164
VILLA DE WEST,PASIR PANJANG ROAD,Condominium,D5,RCR,Freehold,1468000,01 to 05,2022-08,1346,1091
QUEENS PEAK,DUNDEE ROAD,Condominium,D3,RCR,99 yrs lease commencing from 2015,980000,11 to 15,2022-08,495,1979
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1460000,16 to 20,2022-08,990,1474
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,Condominium,D4,CCR,99 yrs lease commencing from 2005,3170000,06 to 10,2022-08,1711,1852
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,Apartment,D2,RCR,99 yrs lease commencing from 1973,9.00E+05,06 to 10,2022-08,850,1058
WALLICH RESIDENCE,WALLICH STREET,Apartment,D2,CCR,99 yrs lease commencing from 2011,5300000,41 to 45,2022-08,1711,3097
ONE SHENTON,SHENTON WAY,Apartment,D1,CCR,99 yrs lease commencing from 2005,1100000,11 to 15,2022-08,581,1892
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1368000,16 to 20,2022-08,635,2154
THE CLIFT,MCCALLUM STREET,Apartment,D1,CCR,99 yrs lease commencing from 2004,1400000,36 to 40,2022-08,829,1689
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,988000,06 to 10,2022-08,441,2239
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,1910000,36 to 40,2022-08,883,2164
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1030000,11 to 15,2022-08,710,1450
THE COAST AT SENTOSA COVE,OCEAN DRIVE,Condominium,D4,CCR,99 yrs lease commencing from 2006,4060000,01 to 05,2022-08,2336,1738
INTERNATIONAL PLAZA,ANSON ROAD,Apartment,D2,CCR,99 yrs lease commencing from 1970,1958000,46 to 50,2022-08,1604,1221
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,D4,RCR,99 yrs lease commencing from 2006,12200000,06 to 10,2022-08,6835,1785
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,1260000,06 to 10,2022-08,657,1919
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,1450000,01 to 05,2022-08,764,1897
SEASCAPE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2007,4280000,06 to 10,2022-08,2164,1978
WHISTLER GRAND,WEST COAST VALE,Apartment,D5,OCR,99 yrs lease commencing from 2018,1428000,16 to 20,2022-08,764,1869
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1428000,06 to 10,2022-08,689,2073
PARC RIVIERA,WEST COAST VALE,Condominium,D5,OCR,99 yrs lease commencing from 2015,1330000,21 to 25,2022-08,904,1471
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,D4,RCR,99 yrs lease commencing from 1999,3075000,06 to 10,2022-08,2583,1190
FABER CREST,FABER HEIGHTS,Condominium,D5,OCR,99 yrs lease commencing from 1996,1080000,01 to 05,2022-08,1033,1045
THE CREST,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2012,1860000,16 to 20,2022-08,904,2057
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,1590000,36 to 40,2022-08,883,1801
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,955000,16 to 20,2022-08,474,2016
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,D5,RCR,99 yrs lease commencing from 2005,1505000,06 to 10,2022-08,1281,1175
WALLICH RESIDENCE,WALLICH STREET,Apartment,D2,CCR,99 yrs lease commencing from 2011,6300000,51 to 55,2022-08,1744,3613
TURQUOISE,COVE DRIVE,Condominium,D4,CCR,99 yrs lease commencing from 2007,4650000,01 to 05,2022-08,3035,1532
THE SORRENTO,WEST COAST ROAD,Condominium,D5,OCR,Freehold,1468000,01 to 05,2022-08,1023,1436
THE COAST AT SENTOSA COVE,OCEAN DRIVE,Condominium,D4,CCR,99 yrs lease commencing from 2006,3580000,06 to 10,2022-08,2024,1769
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,D5,RCR,99 yrs lease commencing from 2005,1880000,11 to 15,2022-08,1302,1443
ONE SHENTON,SHENTON WAY,Apartment,D1,CCR,99 yrs lease commencing from 2005,1420000,11 to 15,2022-08,926,1534
ARTRA,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2016,1635000,21 to 25,2022-08,786,2081
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,D5,RCR,99 yrs lease commencing from 2018,1025000,01 to 05,2022-08,517,1984
ICON,GOPENG STREET,Apartment,D2,CCR,99 yrs lease commencing from 2002,1050000,26 to 30,2022-08,581,1806
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1720000,31 to 35,2022-08,764,2251
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,D3,RCR,99 yrs lease commencing from 2014,892000,06 to 10,2022-08,484,1842
TREASURE PLACE,LORONG SARHAD,Condominium,D5,RCR,Freehold,1920000,01 to 05,2022-08,1356,1416
MARINA BAY RESIDENCES,MARINA BOULEVARD,Condominium,D1,CCR,99 yrs lease commencing from 2005,2270000,11 to 15,2022-08,1130,2008
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,3660700,11 to 15,2022-08,1679,2180
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,D5,RCR,99 yrs lease commencing from 2005,1450000,21 to 25,2022-08,872,1663
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,Condominium,D4,RCR,Freehold,2700000,01 to 05,2022-08,1475,1831
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,Condominium,D5,OCR,999 yrs lease commencing from 1885,2050000,01 to 05,2022-08,1528,1341
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,3571500,06 to 10,2022-08,1679,2127
THE TRILINQ,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 2012,1800000,21 to 25,2022-08,1044,1724
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1382504,21 to 25,2022-08,624,2214
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1668000,21 to 25,2022-08,764,2183
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,D1,CCR,99 yrs lease commencing from 2002,1245000,21 to 25,2022-08,667,1866
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,Apartment,D5,OCR,99 yrs lease commencing from 2016,1285000,16 to 20,2022-08,732,1756
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,D3,RCR,99 yrs lease commencing from 2013,1380000,06 to 10,2022-08,678,2035
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,D5,RCR,99 yrs lease commencing from 2005,2.00E+06,31 to 35,2022-08,1206,1659
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1630000,16 to 20,2022-08,764,2133
CAPE ROYALE,COVE WAY,Condominium,D4,CCR,99 yrs lease commencing from 2008,3620200,06 to 10,2022-08,1679,2156
REGENT PARK,JALAN LEMPENG,Condominium,D5,OCR,99 yrs lease commencing from 1993,1405000,01 to 05,2022-08,1152,1220
RIVER PLACE,HAVELOCK ROAD,Condominium,D3,RCR,99 yrs lease commencing from 1995,1280000,01 to 05,2022-08,786,1629
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 1995,1.00E+06,01 to 05,2022-08,1292,774
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,Condominium,D5,OCR,99 yrs lease commencing from 1995,1400000,01 to 05,2022-08,1259,1112
STIRLING RESIDENCES,STIRLING ROAD,Apartment,D3,RCR,99 yrs lease commencing from 2017,1350000,16 to 20,2022-08,624,2162
