Property.Name.,District.,Property.Type.,Model.,Asking.,Predicted.Rent.,Area.Builtup,PSF.,Bedrooms.,Bedrooms.Additional,Floor.Description,Floor.,Area.Land,PSF_land.,Address.,PostalCode,Developer.,Bathrooms.,Built.Year.,Tenure.,Facilities,Trains..MRT...LRT.,Bus.Stops,Primary.Schools,Secondary.Schools,Shopping.Malls,Furnish.,Integrated.Schools,HDB.Town.,No..of.Units.,lon,lat,is_HDB
Punggol Drive,NA,HDB 4 Rooms,Model A,426000,1792.278725,1001.0427,426,3,NA,NA,NA,NA,NA,619B Punggol Drive (822619),822619,NA,NA,2013,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Bombshelter","OASIS LRT 2 mins  PE6 190m,  2 mins   200m, DAMAI LRT 4 mins  PE7 360m","Opp Punggol Sec Sch 1 min  386 130m, Oasis Stn 2 mins  50386 160m, Punggol Sec Sch 2 mins  386 170m","Oasis Primary 190m, Horizon Primary 460m, Edgefield Primary 470m","Punggol Secondary 230m, Greendale Secondary 670m, Edgefield Secondary 1.04 km","PUNGGOL PLAZA 990m, WATERWAY POINT 1.06 km, Rivervale Mall 1.4 km",NA,NA, Punggol ,NA,103.9110369,1.402894,Yes
Kew Vale, D16 - Bedok / Upper East Coast ,Terrace,Corner Terrace,2600000,6622.698965,4400,591,7,NA,NA,NA,3032,857,Kew Crescent,NA,NA,NA,1996,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Bathtub, Cooker Hob/hood, Air Conditioning, Water Heater","BEDOK SOUTH MRT DUE 2024 4 mins  TE30 320m, TANAH MERAH MRT 11 mins  EW4 880m, EASTWOOD LODGE 12 mins  DT37TE31 1.0 km",Blk 163 1 min  229 140m,"Temasek Primary 340m, Haig Girls' 1.1 km, Bedok Green Primary 1.26 km","Temasek Secondary 420m, Bedok View Secondary 710m, Bedok South Secondary 710m","BEDOK SHOPPING COMPLEX 1.29 km, EAST VILLAGE 1.39 km, BEDOK POINT 1.84 km",NA,Temasek Junior College 1.4 km,NA,NA,103.9498788,1.3186212,No
Compassvale Street,NA,HDB 5 Rooms,Improved,409888,2050.286843,1184.029,346,3,NA,NA,NA,NA,NA,291D Compassvale Street (544291),544291,NA,NA,2001,LEASEHOLD/99 years,"Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Bombshelter"," 4 mins   340m, COMPASSVALE LRT 5 mins  SE1 400m,  6 mins   530m","Blk 291A 2 mins  83 190m, Opp Blk 291A 2 mins  83 220m","Compassvale Primary 270m, Punggol Green Primary 560m, Rivervale Primary 780m","Compassvale Secondary 170m, Edgefield Secondary 550m, Chij St. Joseph's Convent 720m","Compass Point 650m, COMPASS ONE 650m, Rivervale Mall 840m",NA,NA, Sengkang ,NA,103.898484,1.39683,Yes
Rivervale Crescent,NA,HDB 5 Rooms,Model A,445000,2141.821318,1248.6124,356,3,NA,HIGH,NA,NA,NA,149 Rivervale Crescent (540149),540149,NA,2,1999,LEASEHOLD/99 years,"Renovated, Park/greenery View, Corner Unit, Air Conditioning, Cooker Hob/hood, Air Conditioning, Water Heater, Bombshelter, Balcony"," 1 min   60m, RUMBIA LRT 1 min  SE2 110m, BAKAU LRT 4 mins  SE3 360m","Blk 146A 1 min  86 100m, Blk 153 1 min  86371 120m, Blk 156A CP 2 mins  371 200m","Rivervale Primary 240m, Mee Toh 490m, North Spring Primary 560m","Chij St. Joseph's Convent 330m, Compassvale Secondary 800m, Greendale Secondary 920m","Rivervale Mall 130m, Rivervale Plaza 770m, PUNGGOL PLAZA 890m",Fully Furnished,NA, Sengkang ,NA,103.905399,1.391559,Yes
Sembawang Place, D27 - Sembawang / Yishun ,Terrace,Inter Terrace,3300000,6399.150045,4500,733,5,NA,LOW,NA,3505,941,Sembawang Place,NA,NA,NA,NA,FREEHOLD,NA,"CANBERRA U+C (NS12) 10 mins  NS12 830m, SEMBAWANG MRT 16 mins  NS11 1.32 km, YISHUN MRT 19 mins  NS13 1.52 km","Seletaris Condo 1 min  856858859980167 80m, Aft Jln Kemuning 1 min  167980856858858A859 110m","Sembawang Primary 860m, Ahmad Ibrahim Primary 1.09 km, Yishun Primary 1.17 km","Ahmad Ibrahim Secondary 620m, Sembawang Secondary 1.17 km, Yishun Secondary 1.22 km","SEMBAWANG SHOPPING CENTRE 400m, Sun Plaza 1.25 km, NORTHPOINT SHOPPING CENTRE 1.56 km",NA,NA,NA,NA,103.8247125,1.4387513,No
Seletar Hills Estate, D28 - Seletar / Yio Chu Kang ,Semi-Detached,Semi-detached,4880000,7051.494785,4700,1038,6,NA,GROUND,1,3444,1416,Jalan Joran,NA,Bukit Semabwang Estates Ltd,7,2007,999 years,"Renovated, Air Conditioning, Water Heater, Bathtub, Cooker Hob/hood, Intercom, Hairdryer, Balcony, Bombshelter, Garage, Private Garden, Walk-in-wardrobe, Terrace, Outdoor Patio, Roof Terrace, Maidsroom"," 12 mins   1.01 km, FERNVALE LRT 12 mins  SW5 1.01 km,  16 mins   1.34 km",NA,"Fernvale Primary 680m, Sengkang Green Primary 1.01 km, Hougang Primary 1.49 km","Pei Hwa Secondary 1.09 km, Hougang Secondary 1.65 km, Serangoon Garden Secondary 1.79 km","GREENWICH V 250m, THE SELETAR MALL 960m, HOUGANG 1 1.51 km",Partially Furnished,NA,NA,NA,103.8693914,1.3853739,No
Toa Payoh North,NA,HDB 3 Rooms,Improved,290000,1357.983222,699.6535,414,2,1,NA,NA,NA,NA,203 Toa Payoh North (310203),310203,NA,NA,1982,LEASEHOLD/99 years,"Original Condition, Air Conditioning, Hairdryer, Water Heater","BRADDELL MRT 4 mins  NS18 330m, BISHAN MRT 12 mins  CC15NS17 1.0 km, TOA PAYOH MRT 13 mins  NS19 1.07 km","Blk 202 1 min  12959231232 150m, Opp Braddell Stn 2 mins  23123259129 200m, Braddell Stn 2 mins  59129231232 200m","Guangyang Primary 400m, Kheng Cheng 570m, Marymount Convent 700m","Beatty Secondary 320m, Guangyang Secondary 330m, Raffles Institution 540m","Junction 8 940m, JUNCTION 8 SHOPPING CENTRE 960m, Hdb Hub 1.12 km",NA,"Raffles Institution 540m, St. Joseph's Institution 1.19 km, Catholic High School 1.49 km", Toa Payoh ,NA,103.8491162,1.3420685,Yes
Tampines Street 42,NA,HDB 5 Rooms,Improved,495000,2231.460513,1313.1958,377,3,NA,LOW,NA,NA,NA,453 Tampines Street 42 (520453),520453,NA,2,1987,LEASEHOLD/99 years,"Corner Unit, Renovated, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","TAMPINES EAST MRT 1 min  DT33 100m, TAMPINES MRT 14 mins  DT32EW2 1.12 km, SIMEI MRT 19 mins  EW3 1.55 km","Opp Blk 230 1 min  18192137388148NR7 110m, Blk 229 1 min  81373848181921 110m, Blk 459 2 mins  293 170m","Gongshang Primary 530m, Tampines North Primary 690m, Yumin Primary 750m","Ngee Ann Secondary 420m, Dunman Secondary 470m, East View Secondary 500m","TAMPINES 1 1.03 km, Tampines 1 1.03 km, Tampines Mall 1.14 km",Fully Furnished,NA, Tampines ,NA,103.9538965,1.3569967,Yes
Northoaks, D25 - Admiralty / Woodlands ,Condominium,Condominium,838888,2203.787245,1292,649,3,NA,HIGH,NA,NA,NA,32 Woodlands Crescent (738087),738087,Hong Leong Holdings Ltd,3,2000,LEASEHOLD/99 years,"Wadpool, Car Park, Securities, Badminton Court, Squash Court, Multi Purpose Hall, Club House, Gymnasium, Barbecue Area, Tennis Court, Fitness Area, Swimming Pool, Play Ground, Jacuzzi, Basketball Court, Swimming Pool View, Corner Unit, Water Heater, Air Conditioning, Bathtub, Cooker Hob/hood, Air-conditioning, Flooring For Living/dining, Flooring For Bedroom, Wardrobe, Kitchen","ADMIRALTY MRT 10 mins  NS10 800m, SEMBAWANG MRT 19 mins  NS11 1.57 km","Opp Seagate 1 min  858 120m, Seagate 1 min  858858A 140m, Opp Woodsvale Condo 2 mins  962965969 160m","Riverside Primary 510m, Greenwood Primary 620m, Admiralty Primary 760m","Admiralty Secondary 430m, Spectra Secondary 1.02 km, Sembawang Secondary 1.18 km","ADMIRALTY PLACE 790m, WOODLANDS MART 900m, Sun Plaza 1.51 km",Not Furnished,NA,NA,720,103.805988,1.4449129,No
Jurong West Street 92,NA,HDB 4 Rooms,Model A,330000,1956.314129,1119.4456,295,3,NA,MID,NA,NA,NA,929 Jurong West Street 92 (640929),640929,NA,2,1989,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Air Conditioning, Water Heater, Cooker Hob/hood","PIONEER MRT 12 mins  EW28 1.01 km, BOON LAY MRT 23 mins  EW27 1.89 km, JOO KOON MRT 24 mins  EW29 1.94 km","Blk 934 1 min  99 90m, Blk 932 1 min  992415N 110m, Blk 924 1 min  2415N 130m","Xingnan Primary 210m, Juying Primary 300m, Pioneer Primary 1.04 km","Juying Secondary 410m, Pioneer Secondary 920m, Boon Lay Secondary 1.41 km","PIONEER MALL 930m, GEK POH SHOPPING CENTRE 1.26 km, Jurong Point 1.92 km",Partially Furnished,NA, Jurong West ,NA,103.6893265,1.3413006,Yes
Compassvale Street,NA,HDB Executive,Premium Apartment,585000,2448.353894,1463.8904,400,4,NA,MID,NA,NA,NA,299C Compassvale Street (543299),543299,NA,2,2001,LEASEHOLD/99 years,"Corner Unit, Renovated, Water Heater, Cooker Hob/hood, Air Conditioning, Balcony, Bombshelter"," 3 mins   250m, COMPASSVALE LRT 3 mins  SE1 270m,  7 mins   570m","Blk 190C 2 mins  96513686888989e161828327 160m, Blk 298A 2 mins  2782839656N16186888989e136 160m, Blk 297A 3 mins  8989e2783965371 240m","Rivervale Primary 450m, Compassvale Primary 490m, Punggol Green Primary 700m","Compassvale Secondary 220m, Edgefield Secondary 430m, Chij St. Joseph's Convent 510m","Rivervale Mall 540m, Compass Point 890m, COMPASS ONE 890m",Partially Furnished,NA, Sengkang ,NA,103.9019834,1.3962933,Yes
St. Francis Road, D12 - Balestier / Toa Payoh ,Terrace,Inter Terrace,2450000,3367.405185,2368,1035,4,NA,NA,NA,2109,1161,St. Francis Road,NA,NA,NA,NA,FREEHOLD,"Air Conditioning, Hairdryer, Water Heater, Cooker Hob/hood, Balcony, Outdoor Patio, Roof Terrace","BOON KENG MRT 8 mins  NE9 670m, GEYLANG BAHRU MRT 11 mins  DT24 880m, POTONG PASIR MRT 11 mins  NE10 900m",St. Michael's Pl 1 min  6465661323263161985853853C857NR6107107M125133140147 150m,"Bendemeer Primary 400m, St. Andrew's Junior 700m, Hong Wen 840m","Bendemeer Secondary 380m, St. Andrew's Secondary 630m, Chij Katong Convent 690m","BENDEMEER SHOPPING MALL 730m, SHAW PLAZA - TWIN HEIGHTS 1.48 km, CITY SQUARE MALL 1.74 km",NA,NA,NA,NA,-122.6467138,38.469597,No
Senja Road,NA,HDB 5 Rooms,Improved,410000,2050.350123,1184.029,346,3,NA,LOW,NA,NA,NA,622 Senja Road (670622),670622,NA,2,2001,LEASEHOLD/99 years,"Corner Unit, Renovated, Air Conditioning, Bombshelter","JELAPANG LRT 4 mins  BP12 350m, SENJA LRT 4 mins  BP13 370m,  4 mins   370m","Blk 617 2 mins  971EBPS1922 180m, West Spring Sec Sch 2 mins  972972A920 190m, Blk 628 2 mins  920972 200m","West View Primary 280m, West Spring Primary 660m, Greenridge Primary 720m","West Spring Secondary 250m, Zhenghua Secondary 510m, Teck Whye Secondary 740m","GREENRIDGE SHOPPING CENTRE 550m, JUNCTION 10 600m, Bukit Panjang Plaza 740m",NA,NA, Bukit Panjang ,NA,103.7612762,1.3858818,Yes
Jalan Membina,NA,HDB 4 Rooms,Model A,830000,1745.507207,968.751,857,3,1,HIGH,NA,NA,NA,27A Jalan Membina (163027),163027,NA,2,2008,LEASEHOLD/99 years,"Corner Unit, City View, Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Bombshelter","TIONG BAHRU MRT 6 mins  EW17 530m, REDHILL MRT 15 mins  EW18 1.23 km, HAVELOCK MRT DUE 2021 16 mins  TE16 1.3 km","Blk 104 1 min  147175121167196197961961C 140m, Blk 129 2 mins  19565145120123123M 170m, Blk 25B 2 mins  14565120123123M195 180m","Zhangde Primary 300m, Radin Mas Primary 800m, Chij (kellock) 890m","Henderson Secondary 660m, Gan Eng Seng 780m, Chij St. Theresa's Convent 790m","Tiong Bahru Plaza 540m, VALLEY POINT SHOPPING CENTRE 1.24 km, Valley Point 1.24 km",Partially Furnished,NA, Bukit Merah ,NA,103.8246208,1.2822539,Yes
Woodlands Drive 73,NA,HDB 5 Rooms,Design Plus,430000,2111.758387,1227.0846,350,3,NA,MID,NA,NA,NA,685B Woodlands Drive 73 (732685),732685,NA,2,2002,LEASEHOLD/99 years,"Corner Unit, Renovated, Cooker Hob/hood, Water Heater, Air Conditioning, Bombshelter","ADMIRALTY MRT 7 mins  NS10 590m, SEMBAWANG MRT 22 mins  NS11 1.76 km","Blk 685A 1 min  904 80m, Blk 684B 1 min  904 100m","Greenwood Primary 220m, Admiralty Primary 690m, Riverside Primary 790m","Spectra Secondary 580m, Admiralty Secondary 650m, Woodlands Ring Secondary 860m","ADMIRALTY PLACE 490m, WOODLANDS MART 1.01 km, 888 PLAZA 1.29 km",Not Furnished,NA, Woodlands ,NA,103.8060946,1.441359,Yes
Tampines Street 21,NA,HDB 4 Rooms,Model A,520000,1955.214929,1119.4456,465,3,NA,MID,NA,NA,NA,202 Tampines Street 21 (520202),520202,NA,2,1983,LEASEHOLD/99 years,"Corner Unit, Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Maidsroom","TAMPINES EAST MRT 5 mins  DT33 440m, TAMPINES MRT 10 mins  DT32EW2 860m, SIMEI MRT 13 mins  EW3 1.09 km","Opp Blk 216 1 min  3291 100m, Blk 216 1 min  291 130m, Opp Blk 266 2 mins  3 230m","Yumin Primary 280m, Chongzheng Primary 290m, Angsana Primary 500m","Pasir Ris Secondary 460m, Ngee Ann Secondary 520m, East View Secondary 670m","TAMPINES 1 820m, Tampines 1 830m, Tampines Mall 850m",Fully Furnished,NA, Tampines ,NA,103.9521514,1.3529624,Yes
Costa Del Sol, D16 - Bedok / Upper East Coast ,Condominium,Condominium,1600000,2127.548845,1238,1292,3,NA,MID,NA,NA,NA,80 Bayshore Road (469992),469992,Japura Developments Pte Ltd,3,2003,LEASEHOLD/99 years,"Tennis Court, Jacuzzi, Club House, Wadpool, Securities, Car Park, Play Ground, Fitness Area, Swimming Pool, Barbecue Area, Multi Purpose Hall, Gymnasium, Renovated, Corner Unit, Park/greenery View, Air Conditioning, Intercom, Water Heater, Cooker Hob/hood, Hairdryer, Flooring For Living/dining, Kitchen, Air-conditioning, Flooring For Bedroom, Wardrobe, Maidsroom","BAYSHORE MRT DUE 2023 2 mins  TE29 210m, SIGLAP MRT DUE 2023 14 mins  TE28 1.16 km, BEDOK SOUTH MRT DUE 2024 15 mins  TE30 1.23 km",NA,"Temasek Primary 900m, Haig Girls' 1.35 km, Bedok Green Primary 1.4 km","Temasek Secondary 890m, Temasek Junior College 920m, Bedok View Secondary 1.45 km","BEDOK POINT 1.71 km, SIGLAP SHOPPING CENTRE 1.8 km, BEDOK MALL 1.91 km",Not Furnished,Temasek Junior College 920m,NA,906,103.940268,1.311646,No
Idyllic East, D16 - Bedok / Upper East Coast ,Apartment,Apartment,1438000,2005.117245,1151,1249,3,NA,MID,NA,NA,NA,576 Upper East Coast Road (466588),466588,Hillwood Developments Pte Ltd,3,2010,FREEHOLD,"Gymnasium, Swimming Pool, Wadpool, Barbecue Area, Corner Unit, Park/greenery View, Swimming Pool View, Water Heater, Air Conditioning, Hairdryer, Cooker Hob/hood, Intercom, Kitchen, Air-conditioning, Flooring For Living/dining, Wardrobe, Flooring For Bedroom, Balcony, Bombshelter","BEDOK SOUTH MRT DUE 2024 5 mins  TE30 430m, BAYSHORE MRT DUE 2023 7 mins  TE29 610m, TANAH MERAH MRT 15 mins  EW4 1.22 km","Fairview Ct 1 min  1010e131414e4348853C 140m, Opp Temasek Sec Sch 2 mins  506853C229131443461010e 180m, Opp Fairview Ct 2 mins  853C43481010e131414e 200m","Temasek Primary 190m, Haig Girls' 1.15 km, Bedok Green Primary 1.28 km","Temasek Secondary 120m, Bedok View Secondary 940m, Bedok South Secondary 1.15 km","BEDOK SHOPPING COMPLEX 1.68 km, EAST VILLAGE 1.75 km, BEDOK POINT 1.81 km",Not Furnished,Temasek Junior College 1.2 km,NA,34,103.9460714,1.3162613,No
Hougang Avenue 4,NA,HDB 5 Rooms,NA,490000,2202.863181,1291.668,379,3,NA,NA,NA,NA,NA,919 Hougang Avenue 4 (530919),530919,NA,2,1998,LEASEHOLD/99 years,"Corner Unit, Park/greenery View, Original Condition, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater, Maidsroom, Balcony","HOUGANG MRT 13 mins  NE14 1.08 km, BUANGKOK MRT 15 mins  NE15 1.24 km,  17 mins   1.39 km","Blk 687 1 min  88109159161 70m, Blk 919 1 min  15916188109109A 80m, Blk 917 2 mins  159109109A11211672NR66N 160m","Yio Chu Kang Primary 280m, Hougang Primary 400m, Xinmin Primary 520m","Hougang Secondary 250m, Xinmin Secondary 400m, Montfort Secondary 590m","HOUGANG 1 510m, HOUGANG GREEN SHOPPING MALL 550m, Eastpoint Mall 1.14 km",Fully Furnished,NA, Hougang ,NA,103.8842681,1.3760647,Yes
Jewel @ Buangkok, D19 - Hougang / Punggol / Sengkang ,Condominium,Condominium,1050000,1471.408665,775,1355,2,NA,NA,NA,NA,NA,83 Compassvale Bow (544684),544684,White Haven Properties Pte Ltd,NA,2016,LEASEHOLD/99 years,"Aqua Gym, Tennis Court, Palm Alcove, Sun Deck, Sparkle Water Play, Gourmet Cabin, Entrance Court, Clubhouse, Cascading Water Wall, Green Lawn, Adventurers' Cabin, Spa Cabin, Arrival Lounge, Family Pool, Guard House, Nature Cabin, Cloud Sculpture, Eco Pond, Foot Reflexology Path, 50M Lap Pool, Pool Deck, Changing Room With Steam Baths, Jogging Track, Tea Garden, Jacuzzi, Courtyard, Resting Zone, Outdoor Fitness, Water Feature, Cabana, Pet-lovers' Cabin, Sun Deck, Air Conditioning, Cooker Hob/hood, Intercom, Water Heater, Balcony","BUANGKOK MRT 2 mins  NE15 230m,  8 mins   670m,  8 mins   680m","Blk 557 2 mins  4343M 170m, Opp Blk 558 2 mins  4343M 200m","Palm View Primary 340m, Punggol Primary 420m, North Vista Primary 490m","North Vista Secondary 800m, Montfort Secondary 850m, Nan Chiau High 890m","HOUGANG GREEN SHOPPING MALL 500m, Eastpoint Mall 930m, Hougang Mall 930m",NA,NA,NA,616,103.8924443,1.3810499,No
Yishun Street 71,NA,HDB Executive,Executive Apartment,565000,2598.627692,1571.5294,359,3,1,MID,NA,NA,NA,724 Yishun Street 71 (760724),760724,NA,2,1986,LEASEHOLD/99 years,"Corner Unit, Air Conditioning, Cooker Hob/hood, Balcony","YISHUN MRT 8 mins  NS13 650m, KHATIB MRT 13 mins  NS14 1.07 km, CANBERRA U+C (NS12) 24 mins  NS12 1.96 km","Yishun Sec Sch 1 min  800 130m, Jiemin Pr Sch 2 mins  800812 210m, Blk 722 2 mins  169 230m","Jiemin Primary 130m, Ahmad Ibrahim Primary 810m, Yishun Primary 900m","Yishun Secondary 220m, Naval Base Secondary 800m, Ahmad Ibrahim Secondary 1.06 km","NORTHPOINT SHOPPING CENTRE 740m, Northpoint 750m, JUNCTION NINE 1.5 km",NA,NA, Yishun ,NA,103.829741,1.426573,Yes
Prestige Heights, D12 - Balestier / Toa Payoh ,Apartment,Apartment,1080000,1470.451805,775,1394,1,1,NA,NA,NA,NA,348 Balestier Road (329778),329778,Fragrance Land Pte Ltd,NA,2011,FREEHOLD,"Corner Unit, City View, Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Balcony, Terrace","TOA PAYOH MRT 12 mins  NS19 1.02 km, NOVENA MRT 14 mins  NS20 1.17 km, BOON KENG MRT 14 mins  NE9 1.19 km","Opp Jumbo Ind Bldg 1 min  21124125131139186 130m, Shaw Plaza 2 mins  21186130131145 170m, Aft Pegu Rd 2 mins  14513013118621 180m","Hong Wen 710m, Balestier Hill Primary 890m, St. Joseph's Institution Junior 1.13 km","Northlight 790m, Bendemeer Secondary 960m, Balestier Hill Secondary 990m","SHAW PLAZA - TWIN HEIGHTS 160m, ZHONGSHAN MALL 680m, Hdb Hub 870m",NA,NA,NA,154,103.852335,1.325137,No
Jurong East Street 32,NA,HDB 5 Rooms,NA,519000,2414.402903,1442.3626,360,3,NA,HIGH,NA,NA,NA,309 Jurong East Street 32 (600309),600309,NA,2,1983,LEASEHOLD/99 years,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Balcony","CHINESE GARDEN MRT 7 mins  EW25 620m, LAKESIDE MRT 18 mins  EW26 1.51 km, BUKIT BATOK MRT 21 mins  NS2 1.73 km","Blk 306 1 min  333 150m, Aft Bt Batok Rd 2 mins  174 210m, Opp Blk 311 2 mins  333 210m","Jurong Primary 180m, Princess Elizabeth Primary 800m, Yuhua Primary 920m","Jurongville Secondary 710m, Bukit Batok Secondary 770m, Fuhua Secondary 840m","West Mall 1.71 km, Jurong Entertainment Centre 1.72 km, JCUBE 1.73 km",NA,NA, Jurong East ,NA,103.7342142,1.3476438,Yes
Bishan Street 12,NA,HDB 4 Rooms,NA,520000,1649.639213,904.1676,575,3,NA,LOW,NA,NA,NA,130 Bishan Street 12 (570130),570130,NA,2,1986,LEASEHOLD/99 years,"Renovated, Air Conditioning, Cooker Hob/hood","BISHAN MRT 8 mins  CC15NS17 660m, BRADDELL MRT 9 mins  NS18 760m, MARYMOUNT MRT 16 mins  CC16 1.34 km","Blk 131 1 min  410W 70m, Opp Blk 131 1 min  410G 80m, Blk 117 1 min  410W 150m","Guangyang Primary 180m, Kuo Chuan Presbyterian Primary 520m, First Toa Payoh Primary 800m","Guangyang Secondary 150m, Beatty Secondary 470m, Raffles Institution 560m","Junction 8 570m, JUNCTION 8 SHOPPING CENTRE 580m, BISHAN NORTH SHOPPING MALL 1.53 km",NA,"Raffles Institution 560m, St. Joseph's Institution 710m, Catholic High School 1.2 km", Bishan ,NA,103.8508373,1.345939,Yes
Villa Begonia, D28 - Seletar / Yio Chu Kang ,Semi-Detached,Semi-detached,2300000,4347.783645,2800,821,5,NA,NA,NA,2250,1022,Begonia Lane,NA,Scotts Development(Saracs)Pte Ltd-(Scotts Holding),NA,1998,LEASEHOLD/99 years,"Renovated, Air Conditioning, Walk-in-wardrobe","FERNVALE LRT 21 mins  SW5 1.75 km,  22 mins   1.76 km, YIO CHU KANG MRT 24 mins  NS15 1.92 km",NA,"Fernvale Primary 1.45 km, Da Qiao Primary 1.62 km, Sengkang Green Primary 1.68 km",Anderson Secondary 1.73 km,"GREENWICH V 880m, THE SELETAR MALL 1.72 km",NA,NA,NA,44,-74.8297275,40.16782,No
Kim Tian Road,NA,HDB 4 Rooms,Model A,738888,1698.48921,936.4593,789,3,NA,HIGH,NA,NA,NA,119D Kim Tian Road (164119),164119,NA,2,2002,LEASEHOLD/99 years,"City View, Renovated, Air Conditioning, Water Heater, Cooker Hob/hood, Bombshelter","TIONG BAHRU MRT 5 mins  EW17 470m, HAVELOCK MRT DUE 2021 13 mins  TE16 1.06 km, OUTRAM PARK MRT 16 mins  EW16NE3TE17 1.32 km","Blk 121 1 min  121 80m, Blk 126 CP 1 min  121 140m, Blk 201 2 mins  196197961961C167175120121147 200m","Zhangde Primary 320m, Chij (kellock) 800m, Radin Mas Primary 880m","Gan Eng Seng 920m, Chij St. Theresa's Convent 960m, Henderson Secondary 1.0 km","Tiong Bahru Plaza 470m, CONCORDE SHOPPING CENTRE 1.04 km, Concorde 1.04 km",Partially Furnished,NA, Bukit Merah ,NA,103.827962,1.282022,Yes
Ang Mo Kio Avenue 4,NA,HDB 4 Rooms,New Generation,438000,1755.867073,979.5149,447,3,NA,MID,NA,NA,NA,177 Ang Mo Kio Avenue 4 (560177),560177,NA,2,1981,LEASEHOLD/99 years,"Renovated, Corner Unit, Air Conditioning, Cooker Hob/hood, Air Conditioning, Water Heater","MAYFLOWER MRT DUE 2020 5 mins  TE6 440m, YIO CHU KANG MRT 12 mins  NS15 1.0 km, LENTOR MRT DUE 2020 13 mins  TE5 1.11 km","Blk 180 1 min  138 130m, Opp Blk 155 1 min  76CT8268268C2691N 130m, Blk 617 2 mins  269138 160m","Chij St. Nicholas Girls' 510m, Mayflower Primary 570m, Ang Mo Kio Primary 750m","Yio Chu Kang Secondary 490m, Chij St. Nicholas Girls' 510m, Presbyterian High 810m","BROADWAY PLAZA 980m, Djitsun Mall 1.11 km, Jubilee Square 1.17 km",Not Furnished,Chij St. Nicholas Girls' School 510m, Ang Mo Kio ,NA,103.8380731,1.3758705,Yes
Jurong West Street 73,NA,HDB 5 Rooms,Model A,425000,2230.218973,1313.1958,324,4,NA,HIGH,NA,NA,NA,748 Jurong West Street 73 (640748),640748,NA,2,1980,LEASEHOLD/99 years,"Corner Unit, Air Conditioning, Cooker Hob/hood, Air Conditioning, Water Heater, Balcony","PIONEER MRT 14 mins  EW28 1.13 km, BOON LAY MRT 17 mins  EW27 1.37 km","Gek Poh Shop Ctr 1 min  243WNR5258502502A181181M 80m, Blk 749 1 min  181181M258502243G 90m, Blk 745 1 min  99 110m","Westwood Primary 290m, West Grove Primary 350m, Pioneer Primary 360m","Pioneer Secondary 380m, Boon Lay Secondary 710m, Westwood Secondary 790m","GEK POH SHOPPING CENTRE 110m, PIONEER MALL 650m, Jurong Point 1.29 km",Not Furnished,River Valley High School 1.31 km, Jurong West ,NA,103.6981061,1.3477777,Yes
Choa Chu Kang Street 62,NA,HDB 5 Rooms,Model A,560000,2386.171971,1420.8348,394,3,NA,HIGH,NA,NA,NA,610 Choa Chu Kang Street 62 (680610),680610,NA,2,1996,LEASEHOLD/99 years,"Renovated, Corner Unit, Air Conditioning, Cooker Hob/hood","YEW TEE MRT 5 mins  NS5 450m, CHOA CHU KANG LRT 20 mins  BP1NS4 1.61 km",NA,"De La Salle 490m, Unity Primary 510m, Kranji Primary 770m","Unity Secondary 250m, Regent Secondary 1.04 km, Kranji Secondary 1.08 km","Yew Tee Shopping Centre 310m, YEW TEE SQUARE 400m, YEW TEE POINT 410m",NA,NA, Choa Chu Kang ,NA,103.7436246,1.3994065,Yes
Woodlands Street 83,NA,HDB 4 Rooms,Model A,368888,1957.046929,1119.4456,330,3,NA,HIGH,NA,NA,NA,855 Woodlands Street 83 (730855),730855,NA,2,1993,LEASEHOLD/99 years,"Corner Unit, Renovated, Air Conditioning, Cooker Hob/hood, Water Heater","WOODLANDS MRT 10 mins  NS9TE2 820m, ADMIRALTY MRT 10 mins  NS10 860m, WOODLANDS NORTH MRT DUE 2019 12 mins  TE1 990m","Blk 856 1 min  911 60m, Evergreen Sec Sch 1 min  911 90m, Blk 853 1 min  900900A904913NR2858858A964965965A969 100m","Woodlands Primary 410m, Evergreen Primary 470m, Qihua Primary 570m","Evergreen Secondary 140m, Riverside Secondary 550m, Woodlands Ring Secondary 940m","WOODLANDS NORTH PLAZA 400m, 888 PLAZA 410m, WOODLANDS MART 830m",NA,Singapore Sports School 1.58 km, Woodlands ,NA,103.793233,1.440142,Yes
