District.,Property.Type.,Year,avg_psf
D14,HDB 4 Rooms,2000,261.7569963
D14,HDB 4 Rooms,2001,243.0246975
D14,HDB 4 Rooms,2002,241.933412
D14,HDB 4 Rooms,2003,245.7519574
D14,HDB 4 Rooms,2004,254.1007841
D14,HDB 4 Rooms,2005,248.1927287
D14,HDB 4 Rooms,2006,252.2358265
D14,HDB 4 Rooms,2007,286.2743954
D14,HDB 4 Rooms,2008,356.141798
D14,HDB 4 Rooms,2009,383.0140553
D14,HDB 4 Rooms,2010,428.1904962
D14,HDB 4 Rooms,2011,493.9077216
D14,HDB 4 Rooms,2012,514.7414224
D14,HDB 4 Rooms,2013,535.4397259
D14,HDB 4 Rooms,2014,516.5192047
D14,HDB 4 Rooms,2015,524.3925246
D14,HDB 4 Rooms,2016,539.7722993
D14,HDB 4 Rooms,2017,536.8581431
D14,HDB 4 Rooms,2018,545.4152565
D14,HDB 4 Rooms,2019,540.4466651
D14,HDB 4 Rooms,2020,539.7083788
D14,HDB 4 Rooms,2021,608.2306
D14,HDB 4 Rooms,2022,698.4044591
D14,HDB 5 Rooms,1990,116.9361834
D14,HDB 5 Rooms,1991,119.3066581
D14,HDB 5 Rooms,1992,135.5104692
D14,HDB 5 Rooms,1993,183.7232443
D14,HDB 5 Rooms,1994,228.367273
D14,HDB 5 Rooms,1995,278.4220212
D14,HDB 5 Rooms,1996,347.1644501
D14,HDB 5 Rooms,1997,354.0189035
D14,HDB 5 Rooms,1998,303.8565083
D14,HDB 5 Rooms,1999,283.1393511
D14,HDB 5 Rooms,2000,300.8043267
D14,HDB 5 Rooms,2001,285.6163246
D14,HDB 5 Rooms,2002,279.5074819
D14,HDB 5 Rooms,2003,279.9997933
D14,HDB 5 Rooms,2004,266.9428357
D14,HDB 5 Rooms,2005,264.1079284
D14,HDB 5 Rooms,2006,263.9554532
D14,HDB 5 Rooms,2007,296.8495764
D14,HDB 5 Rooms,2008,369.0203163
D14,HDB 5 Rooms,2009,391.7202408
D14,HDB 5 Rooms,2010,436.5010912
D14,HDB 5 Rooms,2011,477.9520707
D14,HDB 5 Rooms,2012,510.8862065
D14,HDB 5 Rooms,2013,552.2712361
D14,HDB 5 Rooms,2014,523.5980978
D14,HDB 5 Rooms,2015,520.7937417
D14,HDB 5 Rooms,2016,585.9396143
D14,HDB 5 Rooms,2017,558.2899135
D14,HDB 5 Rooms,2018,574.3127121
D14,HDB 5 Rooms,2019,562.2789486
D14,HDB 5 Rooms,2020,541.8946566
D14,HDB 5 Rooms,2021,586.1111073
D14,HDB 5 Rooms,2022,649.8918324
D14,HDB Executive,1990,136.9424651
D14,HDB Executive,1991,138.6849463
D14,HDB Executive,1992,155.2549476
D14,HDB Executive,1993,198.1084097
D14,HDB Executive,1994,248.1992609
D14,HDB Executive,1995,286.764282
D14,HDB Executive,1996,359.026162
D14,HDB Executive,1997,353.2004797
D14,HDB Executive,1998,312.907415
