address,bath,bed,built_year,developer,district,last_updated,name,nearest_mrt_name,neighbourhood,price/sqft,property_type,rental,sqft,tenure,title,total_units,travel_time_changi,travel_time_orchard,travel_time_raffles,unit_types,no._of_bedrooms,furnishing,floor_level,overlooking_view,facing
100 Robertson Quay,1 Bath,1 Bed,2004.0,Mcl Land,Orchard / River Valley (D9),2 days ago,Robertson 100,Chinatown MRT,None,$6.64 psf,Condo Whole Unit,"$4,500/mo",678 sqft,Freehold,1 Bed Condo for Rent in Robertson 100,186.0,66 min,26 min,24 min,"1, 2, 3, 4, 5 BR",,Fully,High,,South East
8 Tomlinson Road,4 Baths,4 Beds,2013.0,Millenia Properties Private Limited,Tanglin / Holland (D10),3 days ago,Hana,Orchard MRT,Orchard,$10.48 psf,Condo Whole Unit,"$37,000/mo","3,531 sqft",99 Years,4 Bed Condo for Rent in Hana,26.0,52 min,11 min,28 min,"3, 4 BR",,Partial,,City view,
8 Tomlinson Road,4 Baths,4 Beds,2013.0,Millenia Properties Private Limited,Tanglin / Holland (D10),1 day ago,Hana,Orchard MRT,Orchard,$12.46 psf,Condo Whole Unit,"$44,000/mo","3,531 sqft",99 Years,4 Bed Condo for Rent in Hana,26.0,52 min,11 min,28 min,"3, 4 BR",,Partial,,,
1 Marymount Terrace,3 Baths,3 Beds,2003.0,Soon Lian Realty Pte Ltd,Ang Mo Kio / Bishan / Thomson (D20),11 days ago,Boonview,Marymount MRT,Bishan,$3.48 psf,Condo Whole Unit,"$4,500/mo","1,292 sqft",Freehold,3 Bed Condo for Rent in Boonview,120.0,62 min,28 min,33 min,"1, 3 BR",,,,,
2 Gilstead Road,2 Baths,2 Beds,2014.0,Chedstone Investment Holdings Pte Ltd,Newton / Novena (D11),1 month ago,Gilstead Two,Newton MRT,Novena,$6.58 psf,Condo Whole Unit,"$5,100/mo",775 sqft,Freehold,2 Bed Condo for Rent in Gilstead Two,110.0,,,,"2, 3, 4 BR",,,High,,
2 Marina Boulevard,4 Baths,4 Beds,2008.0,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),10 days ago,The Sail @ Marina Bay,Downtown MRT,None,$7.18 psf,Condo Whole Unit,"$15,800/mo","2,200 sqft",99 Years,4 Bed Condo for Rent in The Sail @ Marina Bay,1111.0,,,,"Studio, 1, 2, 3, 4, 5, 10 BR",,Partial,,,
Mimosa Drive,5 Baths,5 Beds,2000.0,Singapore United Estates Pte Ltd (Bukit Sembawang Estates Ltd),Seletar / Yio Chu Kang (D28),8 days ago,Mimosa Terrace,5-bedroom for rent,Serangoon,$6.81 psf,Terraced House,"$11,000/mo","3,800 sqft (built-up) / 1,615 sqft (land)",Freehold,5 Bed House for Rent in Mimosa Terrace,74.0,58 min,46 min,51 min,5 BR,,,,,
,2 Baths,3 Beds,2002.0,HDB,Ang Mo Kio / Bishan / Thomson (D20),1 month ago,City View @ Cheng San,Ang Mo Kio MRT,Ang Mo Kio,$0.83 psf,HDB 4 Rooms,$800/mo,968 sqft,99 Years,HDB Flat for Rent in 596D Ang Mo Kio Street 52,,58 min,22 min,28 min,"3, 4 BR",3.0,Fully,Top,,North
,2 Baths,2 Beds,1998.0,HDB,Balestier / Toa Payoh (D12),9 days ago,Toa Payoh Court,2-bedroom for rent,Toa Payoh,$4.79 psf,HDB 2 Rooms,"$3,400/mo",710 sqft,99 Years,HDB Flat for Rent in 8 Lorong 7 Toa Payoh,,74 min,29 min,34 min,"1, 2, 3, 4 BR",2.0,,,,
89 Joo Chiat Place,2 Baths,3 Beds,2001.0,Casuarina Properties Pte Ltd,East Coast / Marine Parade (D15),11 days ago,Lotus @ Joo Chiat,Eunos MRT,Geylang,$3.78 psf,Condo Whole Unit,"$10,560/mo","2,791 sqft",Freehold,3 Bed Condo for Rent in Lotus @ Joo Chiat,49.0,53 min,43 min,35 min,"Studio, 1, 3, 4 BR",,Fully,,City view,
